NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
1.7.21;1.7.21;639
3.6.1;2.5.0;637
4.2.2.RELEASE;4.1.8.RELEASE;635
2.3.3;3.1.0-SNAPSHOT;634
3.1.0;3.0.1;630
2.5.2;2.19;627
8.0.0.Alpha1;8.0.0.Alpha1;627
8.0.0.Final;8.0.0.Final;626
2.0.1;2.1-SNAPSHOT;616
8.0.0.CR1;8.0.0.CR1;615
3.1.0-M04;2.3.7-SNAPSHOT;609
8.1.0.CR1;8.1.0.CR1;607
8.1.0.CR1;8.1.0.Final-SNAPSHOT;607
8.1.0.CR2;8.1.0.CR2;607
8.1.0.CR2;8.1.0.Final-SNAPSHOT;607
1.9.5;1.9.0;604
2.1.0.Final;2.1.0.Final;604
8.0.0.Alpha2;8.0.0.Alpha2;604
8.0.0.Alpha2;8.0.0.Alpha2-SNAPSHOT;604
8.0.0.CR1;8.0.0.Final-SNAPSHOT;604
8.0.0.Final;8.0.1.Final-SNAPSHOT;604
4.3.0.RELEASE;4.3.1.BUILD-SNAPSHOT;600
2.15;2.16;597
8.0.0.Alpha1;8.0.0.Alpha2-SNAPSHOT;597
8.0.0.Beta1;8.0.0.Beta2-SNAPSHOT;597
3.1.0-M10;3.0.7-SNAPSHOT;595
8.0.0.Beta1;8.0.0.Beta1;592
7.0.0.CR1;7.0.0.Final-SNAPSHOT;588
3.1.0-M09;3.1.0-SNAPSHOT;587
3.0.0-rc1;3.0.0-SNAPSHOT;585
8.0.0.Alpha4;8.0.0.Beta1-SNAPSHOT;585
1.9.4;2.0-SNAPSHOT;577
2.0.1.Final;2.0.0.Final;576
2.13;2.14;574
3.0.1;2.2.0;574
3.2.0-alpha02;3.2.0-SNAPSHOT;573
0.20;0.20;572
3.1.0-M13-beta3;3.2.0-SNAPSHOT;572
2.14;2.15;570
2.3.0-M03;2.2.6-SNAPSHOT;570
2.0.0-M06;2.0-SNAPSHOT;568
1.9.2;2.0-SNAPSHOT;566
2.0.0-M04;1.9.3-SNAPSHOT;565
8.0.0.Alpha3;8.0.0.Alpha4-SNAPSHOT;565
1.1;1.1;564
1.5.M02;1.5-SNAPSHOT;564
8.0.0.Alpha4;8.0.0.Alpha4;564
2.2.0-M01;2.1.7-SNAPSHOT;561
8.0.0.Alpha3;8.0.0.Alpha3;558
1.9.8;2.1.3-SNAPSHOT;557
2.0.2-beta;1.9.5;557
1.9.M05;2.0-SNAPSHOT;556
4.0.2;3.2.1;556
8.0.0.Alpha2;8.0.0.Alpha3-SNAPSHOT;554
2.12;2.13;553
7.1.3.Final;7.2.0.Alpha1-SNAPSHOT;549
7.1.3.Final;7.2.0.Final;549
2.3.6;3.0.4-SNAPSHOT;548
3.0.7;3.1.0-SNAPSHOT;547
2.1.1;2.1.2-SNAPSHOT;544
2.10.1;2.11;543
1.2.8.RELEASE;1.3.1.BUILD-SNAPSHOT;542
5.0.12;5.0.12;542
0.12.1;0.12.3-SNAPSHOT;540
1.1.7.RELEASE;1.1.8.BUILD-SNAPSHOT;540
4.2.2.RELEASE;4.2.2.RELEASE;540
0.8.0-rc3;0.9-SNAPSHOT;538
1.1.6.RELEASE;1.2.0.BUILD-SNAPSHOT;538
0.3;0.3;537
0.8.1;0.8.2-SNAPSHOT;537
1.0.1.Final;1.0.0.Final;537
1.0.1.Final;1.0.1.Final;536
1.1.6.RELEASE;1.1.7.BUILD-SNAPSHOT;535
2.9.1;2.10;535
1.1.9.RELEASE;1.1.10.BUILD-SNAPSHOT;528
2.8;2.9;528
2.7;2.8;524
3.2.12.RELEASE;4.0.8.RELEASE;524
7.1.1.Final;7.1.2.Final-SNAPSHOT;523
0.17.1;0.17.2-SNAPSHOT;518
2.3.1;3.0.0-SNAPSHOT;518
2.6;2.7;515
10.0.0.CR2;10.0.0.CR3-SNAPSHOT;511
1.3.1.RELEASE;1.2.9.BUILD-SNAPSHOT;510
3.0.0.Alpha25;3.0.0.Alpha25;509
4.0.4.RELEASE;4.0.3.RELEASE;507
3.0.4;3.1.0-SNAPSHOT;503
3.2.14.RELEASE;4.2.0.RC2;503
7.1.0.Final;7.1.0.Final;502
3.2.0-alpha01;3.2.0-SNAPSHOT;501
3.2.14.RELEASE;4.2.0.BUILD-SNAPSHOT;501
10.0.0.Alpha6;10.0.0.Alpha6;499
4.3.0.RELEASE;4.2.6.RELEASE;498
7.1.0.CR1b;7.1.0.Final-SNAPSHOT;493
2.2.0-M02;2.2-SNAPSHOT;492
7.1.1.Final;7.1.2.Final;492
2.3.6;2.3.7-SNAPSHOT;490
2.1.0.Alpha1;2.0.1.final;489
4.3.3.RELEASE;4.3.4.BUILD-SNAPSHOT;489
10.0.0.Alpha6;10.0.0.Beta1-SNAPSHOT;488
2.2.3;2.2.4-SNAPSHOT;486
7.1.1.Final;7.1.1.Final;484
2.10.2;2.6;483
2.2.4;2.2.5-SNAPSHOT;481
3.6.1;2.6.0;480
2.3.7;3.1.0-SNAPSHOT;479
3.0.0.Alpha5;3.0.0.Alpha5;478
7.1.0.Final;7.1.1.Final-SNAPSHOT;478
1;2.4.0-b10;476
1.9.9;2.1.6-SNAPSHOT;476
4.0.0-b01;3.1.0;476
0.15.2;0.19;474
0.32;0.31;471
1.9.2;1.9.3-SNAPSHOT;468
2.1.0-M01;1.9.7-SNAPSHOT;468
2.4.1;2.5;467
2.0.3;2.0.4-SNAPSHOT;465
2.2.0;2.2.0;463
4.0;3.0;463
7.1.0.CR1;7.1.0.CR1;463
2.3;2.3.1;461
2.0.4;2.2-SNAPSHOT;460
1.7.5;1.7.5;459
2.2.7;2.3.2-SNAPSHOT;458
2.5;2.5.1;457
2.4;2.4.1;454
2.3;2.3;451
2.3.0-RC1;2.3-SNAPSHOT;451
2.0.1;2.6;450
2.2.7;2.2.8-SNAPSHOT;448
1.7.7;1.7.6;446
2.0.4;2.1.3-SNAPSHOT;446
1.0.0.beta5;1.0.0-SNAPSHOT;445
2.0.4.Final;2.0.4.Final;444
7.1.0.Beta1b;7.1.0.CR1-SNAPSHOT;444
9.0.0.Final;10.0.0.Alpha5-SNAPSHOT;443
2.1.6;2.2-SNAPSHOT;437
1.2.2.RELEASE;1.2.4.BUILD-SNAPSHOT;436
1.5.0.RELEASE;1.5.1.BUILD-SNAPSHOT;433
1.9.RC2;1.9-SNAPSHOT;432
3.0.8;3.1.1-SNAPSHOT;432
3.1.0-M13-beta3;3.0.8-SNAPSHOT;432
3.1.0-RC1;3.0.8-SNAPSHOT;432
2.2.1;2.3-SNAPSHOT;428
2.7.5;3.4.1;428
1.9.M05;1.9-SNAPSHOT;427
2.2.0;2.2-SNAPSHOT;426
3.0.0.Alpha1;2.2.0.CR2;426
1.9.3;1.9.4-SNAPSHOT;425
0.9.2;0.9.3-SNAPSHOT;424
2.1.5;2.2-SNAPSHOT;424
2.0.1;2.0;423
2.0.0-M01;1.9-SNAPSHOT;422
2.1.0-RC1;2.1-SNAPSHOT;421
7.1.0.Beta1;7.1.0.Beta1;419
1.9;2.0-SNAPSHOT;418
2.0.0.CR3;2.0.0.CR3;417
7.0.2.Final;7.1.0.Alpha2-SNAPSHOT;414
0.5.11;0.5.10;412
1.0.0;1.0.1-SNAPSHOT;412
2.2.3;2.3-SNAPSHOT;412
1.1.9.RELEASE;1.2.0.BUILD-SNAPSHOT;411
2.3.1;2.4;411
2.0-mahout;1.2;410
1;2.4.0-b31;408
2.0.1;2.0.1;407
4.2.0.RELEASE;4.1.7.RELEASE;407
12.0;2.0.1;406
4.3.0.RELEASE;4.3.0.RELEASE;406
3.6.2;2.5.0;404
4.2.0.RELEASE;4.2.1.BUILD-SNAPSHOT;403
3.1.1;3.1.2-SNAPSHOT;401
1.5.0.RELEASE;2.0.0.BUILD-SNAPSHOT;400
3.2.13.RELEASE;4.1.5.BUILD-SNAPSHOT;398
1.4.4.RELEASE;1.4.5.BUILD-SNAPSHOT;397
3.2.11.RELEASE;4.1.0.RELEASE;397
2.2;2.3;394
1.1.0;1.1.1-SNAPSHOT;393
1.2.6.Final;1.2.6.Final;393
1.3.7.RELEASE;1.4.0.BUILD-SNAPSHOT;392
1.4.4.RELEASE;2.0.0.BUILD-SNAPSHOT;392
1.6.M03;1.6;390
4.0.4.RELEASE;4.0.4.RELEASE;390
2.1;2.2-SNAPSHOT;389
2.8.0;2.7.0;388
1.0.5.Final;1.0.5.Final;387
1.3.3.RELEASE;1.4.3.BUILD-SNAPSHOT;387
2.0.0-M05;1.9.4-SNAPSHOT;386
2.0.0-M06;1.9.5-SNAPSHOT;386
1.7.12;1.7.12;385
1.7.21;1.7.6;385
2.0.2;2.1-SNAPSHOT;385
1.3.5.RELEASE;2.0.0.BUILD-SNAPSHOT;384
7.0.1.Final;7.1.0.Alpha1;382
7.0.1.Final;7.1.0.Alpha1-SNAPSHOT;382
4.2.3.RELEASE;4.2.4.BUILD-SNAPSHOT;381
2.0.2;2.0.3-SNAPSHOT;379
1;2.3.0;376
1.0;1.0;376
4.3.4.RELEASE;4.3.5.BUILD-SNAPSHOT;376
0.12;0.12;373
1;2.4.0-b06;372
2.0.5;2.3-SNAPSHOT;372
2.1.5;2.1.6-SNAPSHOT;371
2.1.4;2.1.5-SNAPSHOT;370
2.0.1;2.6-SNAPSHOT;369
2.2.10;3.1.0-SNAPSHOT;367
1.9.9;2.0.5-SNAPSHOT;366
2.1;2.2;366
3.0.0.Beta2;3.0.0.Beta1;365
1.0.5.Final;1.0.4.Final;363
1.2.2.RELEASE;1.1.12.BUILD-SNAPSHOT;363
2.1.6;2.1.7-SNAPSHOT;363
1.9.M03;1.9-SNAPSHOT;362
3.0.1;2.0.1;362
4.11;4.11;361
1.1.6.RELEASE;1.1.8.BUILD-SNAPSHOT;360
3.2.16.RELEASE;4.1.9.RELEASE;360
2.0;2.0;359
