NEWER_VERSION_ON_COMMIT_DATE;PREVIOUS_VERSION;Count of HASH
1.5.2.RELEASE;2.0.0.M1;12
1.5.4.RELEASE;1.5.3.RELEASE;12
1.5.4.RELEASE;2.0.0.RC1;12
1.5.5.RELEASE;2.1.0.M1;12
1.55;1.51;12
1.6;1.4;12
1.6.0;1.5.0;12
1.6.2;1.4.12;12
1.6.2;1.5.5;12
1.6.6.RELEASE;1.7.0.BUILD-SNAPSHOT;12
1.6.6.RELEASE;1.9.7.BUILD-SNAPSHOT;12
1.7;1.5;12
1.7.10;1.6.1;12
1.7.12;1.6.1;12
1.7.16;1.7.7.jbossorg-1;12
1.7.18;1.7.16;12
1.7.2.RELEASE;1.6.3.RELEASE;12
1.7.2.RELEASE;1.6.5.RELEASE;12
1.7.2.RELEASE;1.7.3.RELEASE;12
1.7.20;1.7.15;12
1.7.20;1.7.19;12
1.7.21;1.7.19;12
1.7.22;1.7.21;12
1.7.7;${slf4j.version};12
1.7.7.RELEASE;1.7.7.RELEASE;12
1.8;1.5;12
1.8.0;2.0.0-SNAPSHOT;12
1.8.2.RELEASE;1.9.0.M1;12
1.8.2.RELEASE;1.9.0.RC1;12
1.8.4.RELEASE;1.9.0.RC1;12
1.8.5.RELEASE;1.10.0.M1;12
1.9;1.9.1-RC;12
1.9.0;2.0.0-beta1;12
1.9.0;2.0.0-SNAPSHOT;12
1.9.1-RC2;1.9.1-RC2;12
1.9.3;1.5.2;12
1.9.3;1.9.0;12
1.9.36;1.9.33;12
1.9.4;1.9.5-SNAPSHOT;12
1.9.5;1.8.2;12
1.9.5.RELEASE;1.11.0.M1;12
1.9.64;2.3.24;12
10.13.1.1;10.13.1.1;12
12.0;10.0.1;12
14.0.1;11.0.1;12
2.0.0-alpha10;2.0.0-alpha11;12
2.0.0-alpha10;2.0.0-SNAPSHOT;12
2.0.0-alpha11;2.0.0-alpha12;12
2.0.0-alpha11;2.0.0-SNAPSHOT;12
2.0.0-alpha8;2.0.0-alpha9;12
2.0.0-alpha8;2.0.0-SNAPSHOT;12
2.0.0-alpha9;2.0.0-alpha10;12
2.0.0-alpha9;2.0.0-SNAPSHOT;12
2.0.0-beta3;2.0.0-beta2;12
2.0.0-beta4;2.0.0-beta3;12
2.0.1;2;12
2.0.10;1.9.38;12
2.0.3.RELEASE;1.1.3.RELEASE;12
2.0.9-02;2.2.6-jbossorg-2;12
2.1.0;0.9.1;12
2.1.0.CR1;2.1.0.Beta2;12
2.1.0.CR1;2.1.0.CR1;12
2.1.0.Final;2.1.0.CR1;12
2.1.0-incubating;2.1.0-incubating;12
2.1.11;1.2_15-jbossorg-2;12
2.1.17;2.1.9;12
2.1.2;2.0.0;12
2.1.2;2.2.0;12
2.1.6;2.2.0-SNAPSHOT;12
2.1.8;1.2_15-jbossorg-2;12
2.11.0-M7;2.10.2;12
2.11.1;2.10.3;12
2.11.4;2.10.4;12
2.2.0.Alpha2;2.1.2.Final;12
2.2.0.Beta1;2.1.0;12
2.2.0.CR1;2.2.0.Beta2;12
2.2.0.CR2;2.2.0.CR1;12
2.2.0.SP1;2.2.0.CR2;12
2.2.0-M04;1.2_15-jbossorg-2;12
2.2.1.Final;2.2.0.SP1;12
2.2.16.SP1;2.3.0.CR2;12
2.2.19.GA;2.2.17.GA;12
2.2.2;2.1.2;12
2.2.2.Final;2.1.2.Final;12
2.2.3.RELEASE;2.2.2.RELEASE;12
2.2.5.Final;2.2.4.Final;12
2.2.9.Final;2.2.8.Final;12
2.22.2;2.22.1;12
2.3.0-SNAP2;2.2.4;12
2.3.1;2.1.0-SNAPSHOT;12
2.3.10;2.3.7;12
2.3.17;1.9.57;12
2.3.2;2.2.1;12
2.3.2.RELEASE;2.2.3.RELEASE;12
2.3.3;2.4.0-SNAPSHOT;12
2.3.5;2.3.5-SNAPSHOT;12
2.3.CR1;2.3.Beta2;12
2.3.CR1;2.3.CR1;12
2.3.Final;2.3.CR1;12
2.3-rc2;1.9.50;12
2.4.0;2.3.8;12
2.4.0-b10;1;12
2.4.0-b28;1;12
2.4.2;2.4.3-SNAPSHOT;12
2.4.3;2.5.0-SNAPSHOT;12
2.4.4.RELEASE;2.5.7.BUILD-SNAPSHOT;12
2.46.0;2.42.2;12
2.5.2;2.5.3;12
2.5.2.RELEASE;2.5.3.RELEASE;12
2.5.6.RELEASE;2.5.8.BUILD-SNAPSHOT;12
2.5.7.RELEASE;2.5.7.RELEASE;12
2.53;2.39.1;12
2.6.1;2.5.0;12
2.6.14;2.6.15-SNAPSHOT;12
2.7;2.7.1;12
2.7;2.7.1-SNAPSHOT;12
2.7.0-beta2;2.6.10;12
2.7.10;2.6.10;12
2.7.4;2.6.2;12
2.7.8;2.8.2;12
2.74;2.62;12
2.76;2.62;12
2.8.1;2.7;12
2.8.2;2.7.5;12
2.9.1;${apache.curator.version};12
2.9.1;2.9.0;12
20130505;20130303;12
3.0.0.Alpha12;2.3.0.BETA3;12
3.0.0.Alpha16;2.3.4.Final;12
3.0.0.Alpha3;2.2.7.Final;12
3.0.0-alpha3;2.3.0;12
3.0.0-rc1;3.0.0-BETA3;12
3.0.1.Final;3.1.0.Beta1;12
3.0.1.RELEASE;3.0.1.RELEASE;12
3.0.12.GA;3.3.0.Beta5;12
3.0.14.GA;3.3.1.Final;12
3.0.2;0.7.4;12
3.0.4;2.2.1;12
3.0.6;3.0.6;12
3.0.Alpha14;2.3.Beta2;12
3.0.Beta1;2.4.Final;12
3.0.CR1;2.4.Final;12
3.1.0.Beta2;3.2.0.Beta1-SNAPSHOT;12
3.1.0.Final;3.1.0.Beta1;12
3.1.0.Final;3.1.0.Beta2;12
3.1.1;0.7.4;12
3.1.2;${metrics.version};12
3.1.3.Final;3.1.2.Final;12
3.1.4.Final;3.1.3.Final;12
3.2.14.RELEASE;4.2.4.RELEASE;12
3.2.16.RELEASE;4.0.9.RELEASE;12
3.2.5;2.2.1;12
3.3.2.Final;3.3.2.Final;12
3.3.3.Final;3.3.2.Final;12
3.3.3.Final;3.3.3.Final;12
3.3.7.Final;3.4.0.Beta3;12
3.3.9;2.0;12
3.4.0.Final;3.4.0.Beta2;12
3.4.5.RELEASE;4.1.3.RELEASE;12
3.4.5.RELEASE;4.2.0.M1;12
3.4.7;3.6;12
3.4.8;3.5.5;12
3.4.8;3.6.1;12
3.4.8;3.6.4-SNAPSHOT;12
3.5;3.4;12
3.5.9;3.4.6;12
3.6;3.5.5;12
3.8.0.GA;3.4.GA;12
3.9.1;3.9.0;12
4.0.0.Beta2;4.0.0.Beta1;12
4.0.18.Final;4.0.17.Final;12
4.0.42.Final;4.0.41.Final;12
4.0.9.RELEASE;4.1.5.BUILD-SNAPSHOT;12
4.1.0.Final;4.1.0.Final;12
4.1.5.SP1;4.1.4.Final;12
4.16.3.Final;4.16.2.Final;12
4.16.3.Final;4.16.5.Final;12
4.16.4.Final;4.16.3.Final;12
4.16.5.Final;4.16.4.Final;12
4.2.0;4.2.1-SNAPSHOT;12
4.2.1.RELEASE;4.2.0.RELEASE;12
4.2.19.Final;4.3.8.Final;12
4.5;4.4;12
4.5.0;3.4.0;12
4.9.7.Final;4.9.7.Final;12
5.0.0.Beta1;4.0.18.Final;12
5.0.0.Beta14;5.0.0.Beta12;12
5.0.1;4.2.1;12
5.0.1;5.0;12
5.0.4;5.0.4;12
5.12.1;5.10.2;12
5.13.4;5.13.4;12
5.2.0.Final;5.0.9.Final;12
5.2.4.Final;5.1.3.Final;12
5.3.0.Final;5.2.0.Final;12
5.3.2;5.2.1;12
5.9.1;5.7.0;12
6.2.1;5.2.1;12
6.8.8;6.1.1;12
6.9.10;6.9.9;12
7.0.0.Alpha3;6.0.2.Final;12
7.0.0.CR2;6.0.2.Final;12
7.0.0.CR2;7.0.0.CR2;12
8.1.4.Final;8.0.2.Final;12
9.0.0.Alpha3;8.0.2.Final;12
9.1.1.v20140108;9.1.1.v20140108;12
9.2.5.v20141112;9.2.1.v20140609;12
9.2.7.v20150116;9.2.6.v20141205;12
9.3.11.M0;9.2.4.v20141103;12
0.0.1;0.0.2;11
0.0.3.3;0.0.3.3.1.alpha1;11
0.0.3.3;0.0.3.4.alpha1;11
0.0.5;0.0.6-SNAPSHOT;11
0.0.6;0.0.6-SNAPSHOT;11
0.1.7;${killbill-commons.version};11
0.10.0.0;0.9.0.1;11
0.10.0.1;0.8.2.2;11
0.1-1.2.M01;0.1-SNAPSHOT;11
0.21.0-beta3;0.21.0-beta4;11
0.21.0-beta3;0.21.0-beta4-SNAPSHOT;11
0.21.0-beta4;0.21.0-beta5-SNAPSHOT;11
0.3.1;0.3.3;11
0.3.1;0.3.3-SNAPSHOT;11
0.4.0;0.5.1-SNAPSHOT;11
0.4.1;0.4.0;11
0.5.1;0.6.0;11
0.5.8;0.5.9;11
0.5.9;0.5.10;11
0.5.9;0.6-SNAPSHOT;11
0.6;0.6-SNAPSHOT;11
0.8;PREVIOUS_SNAPSHOT;11
0.9.0-milestone-1;0.9-SNAPSHOT;11
0.9.1;0.9.0;11
0.9.15;0.9.16-SNAPSHOT;11
1.0.0.Alpha1;1.0.0.Alpha1-SNAPSHOT;11
1.0.0.Alpha17;1.0.0.Alpha17;11
1.0.0.Beta13;1.0.0.Beta15;11
1.0.0.Beta14;1.0.0.Beta13;11
1.0.0.Beta15;1.0.0.Beta15;11
1.0.0.Beta16;1.0.0.Beta13;11
1.0.0.Beta20;1.0.0.Beta19;11
1.0.0.Beta20;1.0.0.Beta20;11
1.0.0.Beta24;1.0.0.Beta23;11
1.0.0.Beta26;1.0.0.Beta25;11
1.0.1.RELEASE;1.0.0.RELEASE;11
1.0.12;1.0.11;11
1.0.3;1.0.4;11
1.0.3.Final;1.0.3.CR1;11
1.0.5;1.0.4;11
1.1.0;1.1.0-rc.4-SNAPSHOT;11
1.1.0-beta.1;1.1.0-beta.1;11
1.1.0-beta.1;1.1.0-SNAPSHOT;11
1.1.0-rc.1;1.1.0-beta.4-SNAPSHOT;11
1.1.0-rc.1;1.1.0-rc.1;11
1.1.0-rc.3;1.1.0-rc.3;11
1.1.0-rc.3;1.1.0-rc.3-SNAPSHOT;11
1.1.3;1.0.13;11
1.1.8;1.1.9;11
1.10.5;1.9.5;11
1.13-b01;1.12;11
1.17.1;1.14;11
1.2.1;1.2.0;11
1.3.0.RELEASE;1.3.0.RC1;11
1.3.170;1.3.170;11
1.3.M01;1.3-SNAPSHOT;11
1.4.187;1.4.185;11
1.5.0.RELEASE;1.4.4.RELEASE;11
1.5.0-M1;1.5.0-SNAPSHOT;11
1.5.2-M1;1.5.2-M1;11
1.5.5;1.5.3;11
1.5.8;1.5.7;11
1.6.2.RELEASE;1.6.1.RELEASE;11
1.6.4.RELEASE;1.7.7.BUILD-SNAPSHOT;11
1.6.5;1.6.3;11
1.7;1.8-SNAPSHOT;11
1.7;2.0;11
1.7.0.RELEASE;1.5.3.RELEASE;11
1.7.18;1.7.10;11
1.9.57;1.9.50;11
1.9.6;1.9.4;11
12.0-rc1;10.0.1;11
14.0-rc2;11.0.1;11
16.0.1;15;11
2.0.0;1.6.1;11
2.0.0.Beta2;2.0.0.Beta1;11
2.0.0.Beta3;2.0.0.Beta3;11
2.0.0.CR2;2.0.0.CR1;11
2.0.0.Final;2.0.0.Alpha1;11
2.0.0-RC2;2.0.0-RC3-SNAPSHOT;11
2.0.17;2.0.18;11
2.0.17;2.0.18-SNAPSHOT;11
2.0.18;2.0.19-SNAPSHOT;11
2.0.5;2.1.0-RC2;11
2.0.5;2.1.0-SNAPSHOT;11
2.1;1.4;11
2.1.0;2.0.2;11
2.1.14;1.2_15-jbossorg-2;11
2.1.4;2.1.2;11
2.1.7-SNAP2;2.1.7;11
2.10.0;2.9.1;11
2.11.1;2.10.0;11
2.12.0-M5;2.11.6;11
2.14.2;2.13.3;11
2.14.2;2.14.2;11
2.2.0-m13;1.2_15-jbossorg-2;11
2.2.1.GA;2.1.0.GA;11
2.2.1.GA;2.2.1.GA;11
2.2.1.GA;3.1.0.Final;11
2.2.10;2.2.7;11
2.2.9;2.2.9;11
2.3.0;2.2.2;11
2.3.0;2.4.0;11
2.3.14;2.3.14;11
2.39.1;2.37.1;11
2.4.0;2.3.3;11
2.4.4;2.3.11;11
2.5.0-b01;1;11
2.5.1;${jackson.version};11
2.5.3;2.4.6;11
2.6.0;2.4.6;11
2.6.0-rc1;2.5.4;11
2.6.0-rc2;2.4.6;11
2.6.0-rc2;2.5.3;11
2.6.0-rc3;2.5.3;11
2.6.3;2.4.1;11
2.6.5;2.4.6;11
2.6.6;2.6.2;11
2.6.8;2.6.2;11
2.7.0;2.4.6;11
2.7.2;2.2.0;11
2.8.2;2.8;11
2.9.4;2.9.3;11
3.0.0.GA;3.0.0.CR5;11
3.0.3;3.0.2;11
3.0.8.GA;3.1.0.Beta9;11
3.1.0.Beta7;3.0.7.GA;11
3.1.0.Beta9;3.1.0.Beta7;11
3.1.0.Beta9;3.1.0.CR2;11
3.1.0.CR6;3.1.0.CR3;11
3.1.0.CR7;3.1.0.CR6;11
3.1.0-M09;3.0.6-SNAPSHOT;11
3.2.5;3.1.0;11
3.2.5.Final;3.2.4.Final;11
3.2.9.RELEASE;4.0.3.CI-SNAPSHOT;11
3.5.3;3.2.6;11
3.6.1;3.6.3-SNAPSHOT;11
4.0.41.Final;4.0.28.Final;11
4.0.8;4.0.7;11
4.0-beta;${guice.version};11
4.1.1;4.0.2;11
4.1.2.Final;4.0.37.Final;11
4.1.2.Final;4.1.1.Final;11
4.1.3.Final;4.0.38.Final;11
4.1.3.RELEASE;4.0.5.RELEASE;11
4.1.4.Final;4.0.39.Final;11
4.12-beta-1;4.11;11
4.2.0.Final;4.2.0.Final;11
4.3.0.Final;4.3.0.CR2;11
4.4;4.3.2;11
4.4-alpha1;4.1.3;11
4.5;3.8.1;11
4.6;4.1;11
5.0.0.Beta2;5.0.0.Beta2;11
5.1.1.Final;5.0.10.Final;11
5.2.0.Final;5.1.3.Final;11
5.2.2.Final;5.0.10.Final;11
5.2.20.Final;5.3.4.Final;11
5.2.21.Final;5.5.0.Final;11
5.2.3.Final;5.0.10.Final;11
5.2.5.Final;5.0.10.Final;11
5.2.5.Final;5.1.3.Final;11
5.9.1;5.9.1;11
6.0.0;5.0.0;11
6.0.0.Beta1;6.0.0.Alpha4;11
6.0.0.Beta1;6.0.0.Beta2;11
6.0.0.Beta2;6.0.0.Beta2;11
6.0.0.CR1;6.0.0.Beta2;11
6.1.2.jre7-preview;6.1.0.jre7;11
6.1.2.jre7-preview;6.1.0.jre8;11
6.8;6.2.1;11
6.8.13;6.8.13;11
7.1.0.CR1b;7.1.0.CR1-SNAPSHOT;11
7.6.17.v20150415;9.2.9.v20150224;11
8.0.0.CR1;8.0.0.Beta1;11
8.0.0.Final;8.0.0.Beta1;11
8.0.0.Final;8.0.0.CR1;11
8.0.0.Final;8.0.1.Final;11
9.0.0.M3;6.1.22;11
9.1.0.v20131115;6.1.22;11
9.2.6.v20141205;9.2.5.v20141112;11
9.3.0.M0;9.0.7.v20131107;11
9.3.0.M1;9.2.3.v20140905;11
9.3.1.v20150714;9.2.11.v20150529;11
9.3.2.v20150730;9.2.12.v20150709;11
0.0.0.17;0.0.0.17;10
0.0.0.17;0.0.0.17-SNAPSHOT;10
0.0.0.2;0.0.1;10
0.0.3.5.5.3;0.0.3.5.5.3-SNAPSHOT;10
0.0.4;0.0.5;10
0.0.5;0.0.6;10
0.0.6;0.0.7;10
0.0.9;0.0.6-SNAPSHOT;10
0.1.8;${killbill-commons.version};10
0.10.0.1;0.10.0.0;10
0.10.2;1.0-SNAPSHOT;10
0.11.0;0.8;10
0.1-1.2;0.1-SNAPSHOT;10
0.1-1.2;0.2-SNAPSHOT;10
0.1-1.2.M02;0.1-SNAPSHOT;10
0.1-1.2.M04;0.1-SNAPSHOT;10
0.2.0;0.3.0-SNAPSHOT;10
0.2.5;0.2.5;10
0.3.2;0.4.1-SNAPSHOT;10
0.4;0.4-SNAPSHOT;10
0.5.0;0.6.0;10
0.5.3;0.5.3-SNAPSHOT;10
0.6-1.3.M01;1.3-SNAPSHOT;10
0.8.1.1;0.8.1;10
0.8.2;0.8.1;10
0.9.3;0.9.3;10
0.9.4;0.10.0-SNAPSHOT;10
1.0.0.Alpha10;1.0.0.Alpha10;10
1.0.0.Alpha14;1.0.0.Alpha14;10
1.0.0.Alpha14;1.0.0.Alpha14-SNAPSHOT;10
1.0.0.Alpha6;1.0.0.Alpha7;10
1.0.0.Alpha9;1.0.0.Alpha9;10
1.0.0.Beta16;1.0.0.Beta15;10
1.0.0.Beta27;1.0.10.Final;10
1.0.0.Beta8;1.0.0.Beta8;10
1.0.0.Final;1.0.0.Alpha2;10
1.0.0.Final;1.0.0.Beta6;10
1.0.0.Final;1.1.0.Beta1;10
1.0.0-Beta-3;1.0.0-Beta-2;10
1.0.0-beta-5;1.0.0-Beta-2;10
1.0.10;1.0.10;10
1.0.15.Final;1.1.0.beta2;10
1.0.2.Final;1.0.3.Final;10
1.0.5.Final;1.0.3.Final;10
1.0.7;1.0.8;10
1.0.8.Final;1.0.7.Final;10
1.1.0.Alpha5;1.0.9.Final;10
1.1.0.Beta1;1.0.11.Final;10
1.1.0.Beta5;1.1.0.beta3;10
1.1.0.Beta6;1.1.0.Beta5;10
1.1.0.CR6;1.1.0.CR6;10
1.1.0.CR8;1.1.0.CR7;10
1.1.0.GA;1.1.0.CR8;10
1.1.0-rc.1;1.1.0-rc.2;10
1.1.0-rc.1;1.1.0-rc.2-SNAPSHOT;10
1.1.2;1.1;10
1.1.3;1.0.6;10
1.10.17;1.9.5;10
1.16.10;1.16.4;10
1.16.6;1.12.6;10
1.18.4;1.13;10
1.2.0.Alpha2;1.1.0.Final;10
1.2.0.CR2;1.2.0.CR2;10
1.2.0.RELEASE;1.2.3.BUILD-SNAPSHOT;10
1.2.5;1.1.2;10
1.2_15-B02;2.1.7-jbossorg-1;10
1.3.0.CR5;1.3.0.CR5;10
1.3.0.CR8;1.3.0.CR7;10
1.3.0.Final;1.3.0.Beta3;10
1.3.1;1.3.2;10
1.3.19.Final;1.3.25.Final;10
1.4;1.3;10
1.4.185;1.4.185;10
1.4.7.Final;1.4.8.Final;10
1.4.8.Final;1.3.26.Final;10
1.5.0.Beta4;1.5.0.Beta1;10
1.5.1;1.5.1-SNAPSHOT;10
1.5.2.RELEASE;1.3.5.RELEASE;10
1.5.2-M2;1.3.10;10
1.5.5;1.5.4;10
1.5.6.Final;2.0.3.Final;10
1.5.8;1.5.0;10
1.6;1.6.1;10
1.6;1.7;10
1.6;2.3-SNAPSHOT;10
1.6.0;1.3.3;10
1.6.0;1.5.8;10
1.6.0;1.6.0;10
1.6.0.Beta1;1.5.2.Final;10
1.6.1;1.8-SNAPSHOT;10
1.6.12;1.6.12;10
1.6.2;1.5.4;10
1.7.16;1.7.7;10
1.7.3.3;1.9.19;10
1.7.3.3;1.9.34;10
1.7R4;1.7R3;10
1.7R4;1.7R4;10
1.8.0-u20;1.8.0-beta-132;10
1.8.2;1.8.2;10
1.8.5;1.8.4;10
1.8.5;1.9-RC;10
1.8.5;1.9-SNAPSHOT;10
1.9.11;1.9.7;10
1.9.13;1.9.12;10
1.9.19-beta5;1.9.19-beta3;10
1.9.59;2.3.12;10
1.9.6;1.9.7-SNAPSHOT;10
1.9.7;1.9.7-SNAPSHOT;10
1.9.7;1.9.8-SNAPSHOT;10
14.0.1;14.0;10
18.0;${guava.version};10
19.0;16.0.1;10
2.0;1.6.2;10
2.0.0.Final;2.0.0.BETA2;10
2.0.0.GA;2.0.0.CR8;10
2.0.0.RC5;2.0.0-SNAPSHOT;10
2.0.0-BETA19;2.0.0-BETA19;10
2.0.0-beta4;2.0.0-beta4;10
2.0.1;1.5.2;10
2.0.42-beta;1.10.19;10
2.0.4-b11;1.2_15-jbossorg-2;10
2.0.5;2.2.2-SNAPSHOT;10
2.0.6.RELEASE;1.1.3.RELEASE;10
2.0.7.RELEASE;1.1.3.RELEASE;10
2.0.Alpha4;1.2;10
2.1;1.6.2;10
2.1.0;2.0.3;10
2.1.11;2.3.2;10
2.1.11;2.3.2-SNAPSHOT;10
2.1.2.RELEASE;2.1.1.RELEASE;10
2.10.4;2.5;10
2.11.1;2.11.1;10
2.11.2;2.10.0;10
2.11.4;2.10.0;10
2.11.8;2.11.7;10
2.12.0;2.11.8;10
2.12.0-M2;2.11.6;10
2.14.0;2.13.3;10
2.2.0;2.1.8-SNAPSHOT;10
2.2.0.SP1;3.0.0.GA;10
2.2.1;${project.parent.version};10
2.2.1.Final;2.2.0.Final;10
2.2.18.Final;2.2.21.Final;10
2.2.19.Final;2.2.18.Final;10
2.2.19.Final-build2;2.2.19.Final;10
2.2.2;2.0.1;10
2.2.21.Final;2.2.19.Final-build2;10
2.2.22.GA;2.2.17.GA;10
2.2.24;1.10.19;10
2.2.26;1.9.5;10
2.2.3.GA;3.2.4.Final;10
2.2.3.GA;3.2.5.Final;10
2.2.6;2.3.0-RC4;10
2.2.6;2.3.0-SNAPSHOT;10
2.2.6;3.0.0;10
2.20;2.14;10
2.25.0;2.24.1;10
2.3.0;2.2.0-b21;10
2.3.0.Final;2.3.0.Final;10
2.3.1;2.2.8;10
2.3.1;2.4.0-SNAPSHOT;10
2.3.19;2.3.16;10
2.3.4.Final;2.3.3.Final;10
2.3.4-M5;${version.org.eclipselink.version};10
2.3.4-M5;2.6.0;10
2.3.7;1.9.57;10
2.3.7;2.3.11;10
2.4.0-rc2;2.4.0-RC3;10
2.4.0-rc2;2.4.0-SNAPSHOT;10
2.4.1;2.2.3;10
2.4.2;2.4.6;10
2.4.4;2.4.1;10
2.5;3.0-ALPHA;10
2.5.0;2.5.1;10
2.5.0-b18;1;10
2.5.4.SP4;3.2.16.GA;10
2.6;2.4.1;10
2.6.1;2.6.1-SNAPSHOT;10
2.6.3-M1;${version.org.eclipselink.version};10
2.6.4;${version.org.eclipselink.version};10
2.7.0.Final;2.7.0.Final;10
2.7.0-rc1;2.5.4;10
2.7.1;2.5.4;10
2.7.8;2.9.1;10
2.8;2.4;10
2.8.0-beta1;${com.google.gwt.version};10
2.8.0-rc2;2.8.0-rc1;10
3.0.0;2.0.3;10
3.0.0.Beta5;3.0.0.Beta5;10
3.0.0.CR1;2.4.1.Final;10
3.0.0-M7;2.2.2;10
3.0.0-RC5;2.1.4;10
3.0.4;2.21;10
3.0.6;4.0.0;10
3.0-rc2;3.0-SNAPSHOT;10
3.1.0;2.13.2;10
3.1.2;3.0.1;10
3.1.3.Final;3.1.4.Final;10
3.16.1;3.15.1;10
3.2.0;2.10.0;10
3.2.0.Beta2;3.2.0.BETA1;10
3.2.0.CR8;3.2.0.CR6-darranl-1;10
3.2.1;3.3.0-SNAPSHOT;10
3.2.10.GA;3.2.10.GA;10
3.2.11.GA;3.2.8.SP1;10
3.2.12.GA;3.2.11.GA;10
3.2.12.RELEASE;4.0.5.RELEASE;10
3.2.13.GA;3.2.12.GA;10
3.2.14.GA;3.2.13.GA;10
3.2.15.GA;3.2.14.GA;10
3.2.16.GA;3.2.15.GA;10
3.2.2;3.2.1;10
3.2.4.Beta1;3.2.2.Final;10
3.2.4.Final;3.2.4.Final;10
3.2.5.Final;3.2.5.Beta1;10
3.2.5.Final;3.2.5.Final;10
3.2.7.Final;3.2.5.Final;10
3.2.8.SP1;3.2.8.GA;10
3.2.9.GA;3.2.8.GA;10
3.22.0-CR1;3.18.1-GA;10
3.3;3.3;10
3.3;3.9.0.GA;10
3.3.0.Beta1;4.0.0.Beta1;10
3.6;3.6;10
3.6.9.Final;3.6.8.Final;10
3.8.4;3.8.2;10
4.0.0.Final;4.0.0.FINAL;10
4.0.14.Beta1;4.0.12.Final;10
4.0.36.Final;4.0.35.Final;10
4.0.37.Final;4.0.36.Final;10
4.0.8.Final;4.0.7.Final;10
4.0-beta;3;10
4.1.2.Final;4.9.3.Final;10
4.10.2;4.10.1;10
4.10.4;4.10.4;10
4.11;4.11-beta-1;10
4.12-beta-1;4.10;10
4.17.3.Final;4.17.2.Final;10
4.2.18.Final;5.0.10.Final;10
4.3.0.RELEASE;4.3.0.RC1;10
4.3.4.RELEASE;4.3.2.RELEASE;10
4.3.6;4.1.3;10
4.3.7.RELEASE;4.3.6.RELEASE;10
4.3-beta2;4.0.3;10
4.4.6;4.4.1;10
4.4-beta1;4.3.6;10
4.5.3;4.3.4;10
4.9.3.Final;4.9.2.Final;10
4.9.3.Final;4.9.3.Final;10
4.9.4.Final;4.9.3.Final;10
4.9.5.Final;4.9.5.Final;10
4.9.6.Final;4.9.5.Final;10
5.0.0.Beta17;5.0.0.Beta17;10
5.0.3.Final;5.0.3.Final;10
5.0.9.Final;${version.org.hibernate};10
5.2.11.Final;7.0.0.Final;10
5.2.8.CR1;6.0.1.Final;10
5.2.8.Final;6.0.1.Final;10
5.2.8.Final;6.0.2.Final;10
5.3.0.Final;5.3.0.Final;10
5.4.0;4.7.2;10
5.4.0.Beta1;5.3.3.Final;10
5.5.0;5.3.2;10
5.5.0;5.5.0;10
5.5.3.Final;5.5.2.Final;10
5.5.3.Final;5.5.3.Final;10
5.5.4.Final;5.5.4.Final;10
5.5.5.Final;5.5.5.Final;10
5.6.0.Beta1;5.5.3.Final;10
6.0.0.Final;6.0.0.CR1;10
6.0.3;5.1.33;10
6.1.26;9.0.0.RC0;10
6.2.1;4.10.4;10
6.5.1;6.3.1;10
6.8.7;6.8.5;10
7.1.3.Final;8.0.0.Alpha1-SNAPSHOT;10
7.2.0;7.1.1;10
8.1.12.v20130726;8.1.1.v20120215;10
8.1.7.Final;8.2.5.Final;10
9.0.0.Beta2;8.2.5.Final;10
9.0.3.v20130506;9.0.2.v20130417;10
9.0.4.v20130625;9.0.3.v20130506;10
9.2.21.v20170120;9.2.5.v20141112;10
9.2.22.v20170606;9.3.16.v20170120;10
9.2.5.v20141112;8.1.15.v20140411;10
9.2.5.v20141112;9.0.5.v20130815;10
9.2.8.v20150217;8.1.16.v20140903;10
9.2.8.v20150217;9.2.7.v20150116;10
9.2.9.v20150224;9.2.9.v20150224;10
9.3.3.v20150827;9.2.13.v20150730;10
0.0.3.5.5.3;0.0.3.5.5.3;9
0.0.3.5.5.4;0.0.3.5.5.4;9
0.0.4;0.0.3-SNAPSHOT;9
0.1.3;0.1.4-SNAPSHOT;9
0.1-1.2.M05;0.1-1.2.M06;9
0.12.0;0.11.0;9
0.12.0;0.9.0;9
0.18.0.RELEASE;0.16.0.RELEASE;9
0.18.0.RELEASE;0.18.0.RELEASE;9
0.2.0;0.3.0;9
0.2.1;0.3.0;9
0.20;0.20-SNAPSHOT;9
0.20;0.40-SNAPSHOT;9
0.20.0-rc.1-1;${project.parent.version};9
0.20.0-rc.1-1;0.21.0-beta1;9
0.20.0-rc.1-1;0.21.0-beta2-SNAPSHOT;9
0.3.0;0.3.0-SNAPSHOT;9
0.3.1;0.4.0;9
0.3.13;0.3.8;9
0.3.2;0.3.2;9
0.4.3;0.4.3;9
0.4.4;0.5.0;9
0.5.2;0.5.3-SNAPSHOT;9
0.5-1.2.M05;0.5-1.2.M06;9
0.5-1.2.M05;0.5-SNAPSHOT;9
0.5-1.3.M01;1.3.M02;9
0.5-1.3.M01;1.3-SNAPSHOT;9
0.7.1.1;0.5.59-SNAPSHOT;9
0.7-1.2.M06;0.7-SNAPSHOT;9
0.8.0;0.7.0;9
0.8.0;0.8.0-SNAPSHOT;9
0.8.0-RC1;0.7.1.RELEASE;9
0.8-1.2.M05;0.8-1.2.M06;9
0.8-1.2.M05;0.8-SNAPSHOT;9
0.9.0;0.8.0;9
0.9.1.2;0.9.1.2;9
0.9.15;1.1-SNAPSHOT;9
0.98.8-hadoop2;0.98.8-hadoop2;9
